0.334,70.812
2.691,62.114
7.948,50.518
10.486,45.444
11.755,50.518
15.018,59.215
14.655,59.759
15.924,61.571
16.106,62.658
18.644,68.275
20.638,70.449
21.726,71.718
24.662,73.419
25.644,71.190
26.714,68.694
28.141,53.179
28.409,51.752
30.699,37.140
31.651,23.248
32.931,25.487
33.251,27.247
35.492,39.565
35.972,42.604
37.252,49.963
45.454,103.636
46.734,109.520
47.758,110.799
47.961,112.507
50.688,122.915
51.432,123.844
52.423,124.959
58.559,118.950
60.480,108.729
61.472,104.764
70.001,83.362
69.484,77.986
67.130,66.688
72.227,107.054
73.315,109.385
77.202,129.743
78.912,135.027
80.467,136.736
83.110,136.581
85.131,131.452
86.064,129.588
86.997,128.189
88.397,126.790
88.708,108.453
88.708,102.392
89.640,99.284
96.948,119.486
96.792,122.128
100.835,115.601
101.301,111.250
102.390,105.966
105.499,71.000
106.743,67.270
107.365,61.520
109.075,59.811
113.118,58.412
115.139,60.122
119.026,59.189
127.111,62.453
128.355,64.318
130.065,67.270
135.973,93.223
137.684,99.750
145.613,78.926
147.479,73.331
149.034,71.155
153.232,76.905
154.631,79.858
155.098,84.831
157.741,95.554
159.451,99.439
162.250,95.709
162.872,93.689
162.872,91.358
165.048,87.007
123.002,29.155
131.953,23.191
171.985,100.234
172.233,110.920
179.444,113.903
180.439,107.938
180.687,94.269
181.185,88.304
184.168,74.636
187.343,70.429
187.343,67.347
189.539,73.004
192.074,74.524
197.761,97.336
